NOTA_VENTA,PRODUCTO,DESCRIPCION,PROCESO,ESTADO
13302,SEP050004000007D92,"SEPARADOR 500*400*7  D92 SEP",TROZADO,PENDIENTE
13302,SEP050004000007D92,"SEPARADOR 500*400*7  D92 SEP",OTRO,PENDIENTE
13302,SEP050004000007D92,"SEPARADOR 500*400*7  D92 SEP",OTRO,PENDIENTE
13478,REL1100002137.509B,"RELLENO 110C21 37.5 09B CELDA 291",OTRO,PENDIENTE
13478,REL1100002137.509B,"RELLENO 110C21 37.5 09B CELDA 291",ENCOLADO,PENDIENTE
13478,REL1100002137.509B,"RELLENO 110C21 37.5 09B CELDA 291",MULTIPLE,PENDIENTE
13623,CAJ060006000600C20,"CAJA 600*600*600 C20 NO",CALADO,PENDIENTE
13623,CAJ060006000600C20,"CAJA 600*600*600 C20 NO",PEGADO,PENDIENTE
13623,CAJ060006000600C20,"CAJA 600*600*600 C20 NO",TROZADO,PENDIENTE
13623,CAJ060006000600C20,"CAJA 600*600*600 C20 NO",OTRO,PENDIENTE
13623,CAJ060006000600C20,"CAJA 600*600*600 C20 NO",PLIZADO,PENDIENTE
13623,CAJ060006000600C20,"CAJA 600*600*600 C20 NO",PLIZADO,PENDIENTE
13623,CAJ195005000720C20,"CAJA 1950*500*720 C20 TR.",CALADO,PENDIENTE
13623,CAJ195005000720C20,"CAJA 1950*500*720 C20 TR.",PEGADO,PENDIENTE
13623,CAJ195005000720C20,"CAJA 1950*500*720 C20 TR.",TROZADO,PENDIENTE
13623,CAJ195005000720C20,"CAJA 1950*500*720 C20 TR.",OTRO,PENDIENTE
13623,CAJ195005000720C20,"CAJA 1950*500*720 C20 TR.",PLIZADO,PENDIENTE
13670,EMP093009301025D99,"BIN 465*465*465*1025 D99 O3 OCTO1000.",TROZADO,PENDIENTE
13670,EMP093009301025D99,"BIN 465*465*465*1025 D99 O3 OCTO1000.",OTRO,PENDIENTE
13670,EMP093009301025D99,"BIN 465*465*465*1025 D99 O3 OCTO1000.",OTRO,PENDIENTE
13670,EMP093009301025D99,"BIN 465*465*465*1025 D99 O3 OCTO1000.",OTRO,PENDIENTE
13670,EMP093009301025D99,"BIN 465*465*465*1025 D99 O3 OCTO1000.",TROZADO,PENDIENTE
13670,EMP093009301025D99,"BIN 465*465*465*1025 D99 O3 OCTO1000.",OTRO,PENDIENTE
13670,EMP093009301025D99,"BIN 465*465*465*1025 D99 O3 OCTO1000.",EMPLACADO,PENDIENTE
13670,EMP093009301025D99,"BIN 465*465*465*1025 D99 O3 OCTO1000.",PEGADO,PENDIENTE
13670,EMP093009301025D99,"BIN 465*465*465*1025 D99 O3 OCTO1000.",IMPRESION,PENDIENTE
13723,CAJ076506420235C20,"TAPA 765*642*235 C20 FO.",CALADO,PENDIENTE
13723,CAJ076506420235C20,"TAPA 765*642*235 C20 FO.",OTRO,PENDIENTE
13723,CAJ076506420235C20,"TAPA 765*642*235 C20 FO.",PLIZADO,PENDIENTE
13723,CAJ076506420235C20,"TAPA 765*642*235 C20 FO.",CALADO,PENDIENTE
13740,TER023002300050TUB,"FUNDA 230*230*50 POLIETILENO",OTRO,PENDIENTE
13740,TER215021500006BOL,"BOLSA CON 2 VALVULAS DE 2 PULG.",OTRO,PENDIENTE
13740,TRO141513150120C30,"FONDO 445*445*120 C30 TRO OCTO1000",OTRO,PENDIENTE
13740,TRO141513150120C30,"FONDO 445*445*120 C30 TRO OCTO1000",TROZADO,PENDIENTE
13740,TRO141513150120C30,"FONDO 445*445*120 C30 TRO OCTO1000",TROQUELADO,PENDIENTE
13844,TRO179007300005DBE,"CAJA 470*385*130 DBE TRO.",PEGADO,LISTA
13844,TRO179007300005DBE,"CAJA 470*385*130 DBE TRO.",IMPRESION,LISTA
13844,TRO179007300005DBE,"CAJA 470*385*130 DBE TRO.",TROQUELADO,LISTA
13844,TRO179007300005DBE,"CAJA 470*385*130 DBE TRO.",OTRO,LISTA
13873,REL0950002139.709B,"RELLENO 95C21 39.7 09B CELDA 287",OTRO,LISTA
13874,REL0950002139.709B,"RELLENO 95C21 39.7 09B CELDA 287",ENCOLADO,LISTA
13874,REL0950002139.709B,"RELLENO 95C21 39.7 09B CELDA 287",MULTIPLE,LISTA
13874,REL0950002139.709B,"RELLENO 95C21 39.7 09B CELDA 287",OTRO,LISTA
13875,REL0950002139.709B,"RELLENO 95C21 39.7 09B CELDA 287",ENCOLADO,LISTA
13875,REL0950002139.709B,"RELLENO 95C21 39.7 09B CELDA 287",MULTIPLE,LISTA
13875,REL0950002139.709B,"RELLENO 95C21 39.7 09B CELDA 287",OTRO,LISTA
13902,REL09500021002809B,"RELLENO 95C21 28.0 09B CELDA 287",OTRO,LISTA
13903,REL09500021002809B,"RELLENO 95C21 28.0 09B CELDA 287",ENCOLADO,LISTA
13903,REL09500021002809B,"RELLENO 95C21 28.0 09B CELDA 287",MULTIPLE,LISTA
13903,REL09500021002809B,"RELLENO 95C21 28.0 09B CELDA 287",OTRO,LISTA
13920,REL1100002337.509B,"RELLENO 110C23 37.5 09B CELDA 291",MULTIPLE,LISTA
13920,REL1100002337.509B,"RELLENO 110C23 37.5 09B CELDA 291",OTRO,LISTA
13920,REL1100002337.509B,"RELLENO 110C23 37.5 09B CELDA 291",ENCOLADO,LISTA
13945,TRO137605520003C20,"CAJA 364*284*258 C30 TRO.",OTRO,LISTA
13946,TRO137605520003C20,"CAJA 364*284*258 C30 TRO.",PEGADO,LISTA
13946,TRO137605520003C20,"CAJA 364*284*258 C30 TRO.",TROZADO,LISTA
13946,TRO137605520003C20,"CAJA 364*284*258 C30 TRO.",OTRO,LISTA
13946,TRO137605520003C20,"CAJA 364*284*258 C30 TRO.",IMPRESION,LISTA
13946,TRO137605520003C20,"CAJA 364*284*258 C30 TRO.",TROQUELADO,LISTA
13951,REL0950001837.509B,"RELLENO 95C18 37,5 09B CELDA 287.",OTRO,LISTA
13959,REL0950002139.509B,"RELLENO 95C21 39.5 09B CELDA 287",OTRO,LISTA
13960,REL0950002139.509B,"RELLENO 95C21 39.5 09B CELDA 287",ENCOLADO,LISTA
13960,REL0950002139.509B,"RELLENO 95C21 39.5 09B CELDA 287",MULTIPLE,LISTA
13960,REL0950002139.509B,"RELLENO 95C21 39.5 09B CELDA 287",OTRO,LISTA
13964,REL1100002537.509B,"RELLENO 110C25 37.5 09B CELDA 249",OTRO,LISTA
13965,CAJ039503600325D92,"CAJA 395*360*325 D92 NO.",OTRO,LISTA
13966,EMP093009301025D99,"BIN 465*465*465*1025 D99 O3 OCTO1000.",EMPLACADO,LISTA
13966,EMP093009301025D99,"BIN 465*465*465*1025 D99 O3 OCTO1000.",PEGADO,LISTA
13966,EMP093009301025D99,"BIN 465*465*465*1025 D99 O3 OCTO1000.",IMPRESION,LISTA
13966,TRO047004700201C32,"TAPA 470*470*200 C32 TRO OCTO",OTRO,LISTA
13966,TRO141513150120C30,"FONDO 445*445*120 C30 TRO OCTO1000",TROZADO,LISTA
13966,TRO141513150120C30,"FONDO 445*445*120 C30 TRO OCTO1000",TROQUELADO,LISTA
13967,EMP094009401001D92,"BIN 940*940*1000 D92 B2",OTRO,LISTA
13967,EMP094009401001D92,"BIN 940*940*1000 D92 B2",PEGADO,LISTA
13968,SEP120012000003C20,"SEPARADOR 1200*1200 C20 SEP",TROZADO,PENDIENTE
13968,SEP120012000003C20,"SEPARADOR 1200*1200 C20 SEP",OTRO,PENDIENTE
13968,SEP120012000003C20,"SEPARADOR 1200*1200 C20 SEP",OTRO,PENDIENTE
13970,REL1100002528.509B,"RELLENO 110C25 28.5 09B CELDA 249",OTRO,LISTA
13970,REL1100002528.509B,"RELLENO 110C25 28.5 09B CELDA 249",ENCOLADO,LISTA
13970,REL1100002528.509B,"RELLENO 110C25 28.5 09B CELDA 249",MULTIPLE,LISTA
13971,REL1100002537.509B,"RELLENO 110C25 37.5 09B CELDA 249",OTRO,LISTA
13971,REL1100002537.509B,"RELLENO 110C25 37.5 09B CELDA 249",ENCOLADO,LISTA
13971,REL1100002537.509B,"RELLENO 110C25 37.5 09B CELDA 249",MULTIPLE,LISTA
13972,CAJ165004000300D92,"CAJA 1650*400*300 D92 ST.",OTRO,LISTA
13973,REL0470000639,509B,"RELLENO 47C6 39,5 09B CELDA 274",MULTIPLE,LISTA
13973,REL0470000639,509B,"RELLENO 47C6 39,5 09B CELDA 274",TROZADO,LISTA
13973,REL0470000639,509B,"RELLENO 47C6 39,5 09B CELDA 274",OTRO,LISTA
13973,REL0470000639,509B,"RELLENO 47C6 39,5 09B CELDA 274",ENCOLADO,LISTA
13974,CAJ055004000200C20,"CAJA 550*400*200 C20 NO.",PLIZADO,LISTA
13974,CAJ055004000200C20,"CAJA 550*400*200 C20 NO.",CALADO,LISTA
